Mannesmann Tor 2||||||||4.21|4.36|4.51||5.06||5.21||5.36||5.51||6.06||6.21||6.36||6.51|||7.06||7.21||7.36||7.51||8.06||8.21||8.36||8.51||9.06||9.21||9.36||9.51||10.06||10.21||10.36||10.51||11.06||11.21||11.36||11.51||12.06||12.21||12.36||12.51||13.06||13.21||13.36||13.51||14.06||14.21||14.36||14.51||15.06||15.21||15.36||15.51||16.06||16.21||16.36||16.51||17.06||17.21||17.36||17.51||18.06||18.21||18.36||18.51||19.06|19.21|19.31|19.46||20.01|20.16|20.31|20.46|21.01|21.31|22.01|22.31|23.01|23.31|0.01
Mannesmann Tor 1||||||||23|38|53||08||23||38||53||08||23||38||53|||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08||23||38||53||08|23|33|48||03|18|33|48|03|33|03|33|03|33|03
Berzelius||||||||24|39|54||09||24||39||54||09||24||39||54|||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09||24||39||54||09|24|34|49||04|19|34|49|04|34|04|34|04|34|04
Rheinstahl||||||||25|40|55||10||25||40||55||10||25||40||55|||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10|25|35|50||05|20|35|50|05|35|05|35|05|35|05
Heiligenbaumstraße||||||||26|41|56||11||26||41||56||11||26||41||56|||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11||26||41||56||11|26|36|51||06|21|36|51|06|36|06|36|06|36|06
Ehinger Straße||||||||27|42|57||12||27||42||57||12||27||42||57|||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12||27||42||57||12|27|37|52||07|22|37|52|07|37|07|37|07|37|07
Neuenhofstraße||||||||29|43|59||14||29||44||59||14||29||44||59|||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14||29||44||59||14|29|38|53||08|23|38|53|08|38|08|38|08|38|08
Rheintörchenstraße||||||||30|45|5.00||15||30||45|5.53|6.00|6.08|15|6.23|30|6.38|45|6.53|7.00|7.04|7.08|15|7.23|30|7.38|45|7.53|8.00|8.08|15|8.23|30|8.38|45|8.53|9.00|9.08|15|9.23|30|9.38|45|9.53|10.00|10.08|15|10.23|30|10.38|45|10.53|11.00|11.08|15|11.23|30|11.38|45|11.53|12.00|12.08|15|12.23|30|12.38|45|12.53|13.00|13.08|15|13.23|30|13.38|45|13.53|14.00|14.08|15|14.23|30|14.38|45|14.53|15.00|15.08|15|15.23|30|15.38|45|15.53|16.00|16.08|15|16.23|30|16.38|45|16.53|17.00|17.08|15|17.23|30|17.38|45|17.53|18.00|18.08|15|18.23|30|18.38|45|18.53|19.00|19.08|15|30|39|54|20.02|09|24|39|54|09|39|09|39|09|39|09
Fischerstraße||||||||31|46|01||16||31||46|54|01|09|16|24|31|39|46|54|01|05|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|54|01|09|16|31|40|55|03|10|20.25|40|20.55|10|40|10|40|10|40|10
Hochfeld Süd Bf||||||||33|48|03||18||33||48|56|03|11|18|26|33|41|48|56|03|07|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|33|42|57|05|12||42||12|42|12|42|12|42|12
