DIN-Bahnhof|||||||4.33|4.48|5.03|5.18|5.33|5.48||6.03||6.18||6.33||6.48||7.03||7.18||7.33||7.48||8.03||8.18||8.33||8.48||9.03||9.18||9.33||9.48||10.03||10.18||10.33||10.48||11.03||11.18||11.33||11.48||12.03||12.18||12.33||12.48||13.03||13.18||13.33||13.48||14.03||14.18||14.33||14.48||15.03||15.18||15.33||15.48||16.03||16.18||16.33||16.48||17.03||17.18||17.33||17.48||18.03||18.18||18.33||18.48||19.03||19.18||19.33||19.47|19.52||||20.22||20.52|21.22|21.52|22.22|22.52|23.22|23.52|0.22|
DIN-Neustraße|||||||35|50|05|20|35|50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||50||05||20||35||49|54||||24||54|24|54|24|54|24|54|24|
DIN-Trabrennbahn|||||||37|52|07|22|37|52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||52||07||22||37||51|56||||26||56|26|56|26|56|26|56|26|
DIN-Pollenkamp|||||||39|54|9|24|39|54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||54||9||24||39||53|58||||28||58|28|58|28|58|28|58|28|
DIN-Bärenstraße|||||||40|55|10|25|40|55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||55||10||25||40||54|59||||29||59|29|59|29|59|29|59|29|
Watereck||||3.54||4.26|41|56|11|26|41|56|6.04|11|6.19|26|6.34|41|6.49|56|7.04|11|7.19|26|7.34|41|7.49|56|8.04|11|8.19|26|8.34|41|8.49|56|9.04|11|9.19|26|9.34|41|9.49|56|10.04|11|10.19|26|10.34|41|10.49|56|11.04|11|11.19|26|11.34|41|11.49|56|12.04|11|12.19|26|12.34|41|12.49|56|13.04|11|13.19|26|13.34|41|13.49|56|14.04|11|14.19|26|14.34|41|14.49|56|15.04|11|15.19|26|15.34|41|15.49|56|16.04|11|16.19|26|16.34|41|16.49|56|17.04|11|17.19|26|17.34|41|17.49|56|18.04|11|18.19|26|18.34|41|18.49|56|19.04|11|19.19|26|19.34|41|19.50|55|20.00|20.05|20.11|20.26|30|20.49|21.00|30|22.00|30|23.00|30|0.00|30|0.33
Vierlinden||||55||27|42|57|12|27|42|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|51|56|01|06|12|27|31|50|01|31|01|31|01|31|01|31|34
Fasanenstraße||||56||28|43|58|13|28|43|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|51|58|06|13|21|28|36|43|52|57|02|07|13|28|32|51|02|32|02|32|02|32|02|32|35
Walsum Betriebshof||||57||29|44|59|14|29|44|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|53|58|03|08|14|29|33|52|03|33|03|33|03|33|03|33|36
Walsum Rathaus||||58||30|45|5.00|15|30|45|6.00|08|15|23|30|38|45|53|7.00|08|15|23|30|38|45|53|8.00|08|15|23|30|38|45|53|9.00|08|15|23|30|38|45|53|10.00|08|15|23|30|38|45|53|11.00|08|15|23|30|38|45|53|12.00|08|15|23|30|38|45|53|13.00|08|15|23|30|38|45|53|14.00|08|15|23|30|38|45|53|15.00|08|15|23|30|38|45|53|16.00|08|15|23|30|38|45|53|17.00|08|15|23|30|38|45|53|18.00|08|15|23|30|38|45|53|19.00|08|15|23|30|38|45|54|59|04|09|15|30|34|53|04|34|04|34|04|34|04|34|37
Sonnenstraße||||59||31|46|5.01|16|31|46|6.01|09|16|24|31|39|46|54|7.01|09|16|24|31|39|46|54|8.01|09|16|24|31|39|46|54|9.01|09|16|24|31|39|46|54|10.01|09|16|24|31|39|46|54|11.01|09|16|24|31|39|46|54|12.01|09|16|24|31|39|46|54|13.01|09|16|24|31|39|46|54|14.01|09|16|24|31|39|46|54|15.01|09|16|24|31|39|46|54|16.01|09|16|24|31|39|46|54|17.01|09|16|24|31|39|46|54|18.01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|55|20.00|05|10|16|31|35|54|05|35|05|35|05|35|05|35|38
