Walsum Krankenhaus||||5.18|5.48|6.18|6.48|7.18|7.48|8.18|8.48|9.18|9.48|10.18|10.48|11.18|11.48|12.18|12.48|13.18|13.48|14.18|14.48|15.18|15.48|16.18|16.48|17.18|17.48|18.18|18.48|19.15|19.45|20.45|21.45|22.45
Königstraße||||19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|16|46|46|46|46
Alt-Walsum Friedhof||||20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|17|47|47|47|47
Am Römerberg||||21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|18|48|48|48|48
Bahnhofstraße||||23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|20|50|50|50|50
Franz-Lenze-Platz||||24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|21|51|51|51|51
Am Gisbertsheim||||26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|23|53|53|53|53
Herzogstraße||||28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|25|55|55|55|55
Manfredstraße||||29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|26|56|56|56|56
Oswaldstraße||||30|6.00|30|7.00|30|8.00|30|9.00|30|10.00|30|11.00|30|12.00|30|13.00|30|14.00|30|15.00|30|16.00|30|17.00|30|18.00|30|19.00|27|57|57|57|57
Am Driesenbusch||||31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|28|58|58|58|58
Waldstraße||||32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|29|59|59|59|59
Walsum Rathaus||4.35|5.05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|31|20.01|21.01|22.01|23.01
Ludgerusstraße||36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|32|02|02|02|02
Hoeveler Straße||37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|33|03|03|03|03
Schachtstrasse||38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|34|04|04|04|04
