Stauffenbergstraße|4.07|4.53|5.23|5.53|6.23|6.53|7.23|7.53|8.23|8.53|9.23|9.53|10.23|10.53|11.23|11.53|12.23|12.53|13.23|13.53|14.23|14.53|15.23|15.53|16.23|16.53|17.23|17.53|18.23|18.53|19.23|20.33|21.33|22.33
Vierlinden|08|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|34|34|34
Oswaldstraße|10|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|35|35|35
Manfredstraße|11|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|36|36|36
Franz-Lenze-Platz|13|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|38|38|38
Am Gisbertsheim|15|5.01|31|6.01|31|7.01|31|8.01|31|9.01|31|10.01|31|11.01|31|12.01|31|13.01|31|14.01|31|15.01|31|16.01|31|17.01|31|18.01|31|19.01|31|40|40|40
Overbruchstraße|16|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|41|41|41
Wichernheim|18|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|43|43|43
Am Weißen Stein|20|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|06|36|45|45|45
Kreuzweg|21|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|46|46|46
Hauerstraße|22|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|47|47|47
Walsumer Wardtstraße|24|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|48|48|48
Königstraße|25|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|49|49|49
Alt-Walsum Friedhof|26|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|50|50|50
Am Römerberg|28|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|52|52|52
Römerstraße|30|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|54|54|54
Walsumer Brauhaus|31|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|55|55|55
Schulstraße|32|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|56|56|56
Hafenstraße|33|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|57|57|57
Büsackerstraße|34|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|58|58|58
Schwan|36|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|59|59|59
Oderstraße|37|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|23|53|21.00|22.00|23.00
Goebenstraße|38|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|01|01|01
Breite Straße|39|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|02|02|02
Warbruckstraße|41|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|04|04|04
Bayernstraße|43|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|06|06|06
Hermannstraße|45|31|6.01|31|7.01|31|8.01|31|9.01|31|10.01|31|11.01|31|12.01|31|13.01|31|14.01|31|15.01|31|16.01|31|17.01|31|18.01|31|19.01|31|20.01|7|7|7
Marxloh Pollmann|46|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|32|2|8|8|8
