Marxloh Pollmann|5.05|5.35|6.05|6.35|7.05|7.35|8.05|8.35|9.05|9.35|10.05|10.35|11.05|11.35|12.05|12.35|13.05|13.35|14.05|14.35|15.05|15.35|16.05|16.35|17.05|17.35|18.05|18.35|19.05|19.48|20.48|21.48|22.48
Hermannstraße|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|50|50|50|50
Bayernstraße|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|51|51|51|51
Warbruckstraße|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|39|09|52|52|52|52
Breite Straße|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|54|54|54|54
Goebenstraße|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|42|12|55|55|55|55
Oderstraße|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|56|56|56|56
Schwan|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|58|58|58|58
Büsackerstraße|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|59|59|59|59
Hafenstraße|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|20.00|21.00|22.00|23.00
Schulstraße|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|48|18|01|01|01|01
Walsumer Brauhaus|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|02|02|02|02
Römerstraße|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|03|03|03|03
Am Römerberg|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|04|04|04|04
Alt-Walsum Friedhof|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|05|05|05|05
Königstraße|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|06|06|06|06
Walsumer Wardtstraße|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|07|07|07|07
Hauerstraße|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|57|27|08|08|08|08
Kreuzweg|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|09|09|09|09
Am Weißen Stein|30|6.00|30|7.00|30|8.00|30|9.00|30|10.00|30|11.00|30|12.00|30|13.00|30|14.00|30|15.00|30|16.00|30|17.00|30|18.00|30|19.00|30|10|10|10|10
Wichernheim|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|12|12|12|12
Overbruchstraße|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|04|34|14|14|14|14
Am Gisbertsheim|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|05|35|15|15|15|15
Franz-Lenze-Platz|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|07|37|17|17|17|17
Manfredstraße|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|10|40|19|19|19|19
Oswaldstraße|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|20|20|20|20
Vierlinden|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|13|43|21|21|21|21
Stauffenbergstraße|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|22|22|22|22
